,Year,Ridership,city
3,2015,33428.0,Columbia
4,2016,32158.0,Columbia
5,2017,32695.0,Columbia
6,2018,29805.0,Columbia
0,2012,16259.0,Columbus
1,2013,16188.0,Columbus
2,2014,12962.0,Columbus
3,2015,12906.0,Columbus
4,2016,14005.0,Columbus
5,2017,13545.0,Columbus
6,2018,11414.0,Columbus
0,2012,4612.0,Connellsville
1,2013,4815.0,Connellsville
2,2014,4925.0,Connellsville
3,2015,4871.0,Connellsville
4,2016,5002.0,Connellsville
5,2017,4762.0,Connellsville
6,2018,4407.0,Connellsville
0,2012,700.0,Connersville
1,2013,771.0,Connersville
2,2014,690.0,Connersville
3,2015,770.0,Connersville
4,2016,586.0,Connersville
5,2017,583.0,Connersville
6,2018,607.0,Connersville
0,2012,29072.0,Corcoran
1,2013,31542.0,Corcoran
2,2014,34539.0,Corcoran
3,2015,32331.0,Corcoran
4,2016,30104.0,Corcoran
5,2017,28440.0,Corcoran
6,2018,24658.0,Corcoran
0,2012,3623.0,Cornwells Heights
1,2013,3215.0,Cornwells Heights
2,2014,2091.0,Cornwells Heights
3,2015,2271.0,Cornwells Heights
4,2016,2966.0,Cornwells Heights
5,2017,3073.0,Cornwells Heights
6,2018,3673.0,Cornwells Heights
0,2012,5919.0,Crawfordsville
1,2013,6159.0,Crawfordsville
2,2014,5679.0,Crawfordsville
3,2015,5248.0,Crawfordsville
4,2016,5705.0,Crawfordsville
5,2017,5854.0,Crawfordsville
6,2018,5660.0,Crawfordsville
0,2012,4531.0,Creston
1,2013,4621.0,Creston
2,2014,4314.0,Creston
3,2015,5017.0,Creston
4,2016,3843.0,Creston
5,2017,3797.0,Creston
6,2018,3747.0,Creston
0,2012,N/A,Crestview
1,2013,N/A,Crestview
2,2014,N/A,Crestview
3,2015,N/A,Crestview
4,2016,N/A,Crestview
5,2017,N/A,Crestview
6,2018,N/A,Crestview
0,2012,45140.0,Croton-Harmon
1,2013,48293.0,Croton-Harmon
2,2014,49972.0,Croton-Harmon
3,2015,48446.0,Croton-Harmon
4,2016,45291.0,Croton-Harmon
5,2017,45633.0,Croton-Harmon
6,2018,43184.0,Croton-Harmon
0,2012,12608.0,Culpeper
1,2013,13677.0,Culpeper
2,2014,14257.0,Culpeper
3,2015,14508.0,Culpeper
4,2016,15058.0,Culpeper
5,2017,15412.0,Culpeper
6,2018,14428.0,Culpeper
0,2012,10746.0,Cumberland
1,2013,11581.0,Cumberland
2,2014,11556.0,Cumberland
3,2015,11390.0,Cumberland
4,2016,11492.0,Cumberland
5,2017,11694.0,Cumberland
6,2018,10896.0,Cumberland
0,2012,3236.0,Cut Bank
1,2013,2920.0,Cut Bank
2,2014,2353.0,Cut Bank
3,2015,2144.0,Cut Bank
4,2016,2547.0,Cut Bank
5,2017,2544.0,Cut Bank
6,2018,2396.0,Cut Bank
0,2012,54883.0,Dallas
1,2013,55609.0,Dallas
2,2014,49446.0,Dallas
3,2015,44619.0,Dallas
4,2016,41619.0,Dallas
5,2017,47008.0,Dallas
6,2018,46094.0,Dallas
0,2012,8228.0,Danville
1,2013,9697.0,Danville
2,2014,7741.0,Danville
3,2015,7736.0,Danville
4,2016,7209.0,Danville
5,2017,6575.0,Danville
6,2018,6934.0,Danville
0,2012,442.2,Davis
1,2013,420.8,Davis
2,2014,355.2,Davis
3,2015,370.0,Davis
4,2016,376.7,Davis
5,2017,371.8,Davis
6,2018,383.3,Davis
0,2012,80023.0,Dearborn
1,2013,80228.0,Dearborn
2,2014,77506.0,Dearborn
3,2015,75625.0,Dearborn
4,2016,66221.0,Dearborn
5,2017,71498.0,Dearborn
6,2018,72270.0,Dearborn
0,2012,31643.0,Deerfield Beach
1,2013,29500.0,Deerfield Beach
2,2014,27992.0,Deerfield Beach
3,2015,26463.0,Deerfield Beach
4,2016,24150.0,Deerfield Beach
5,2017,23407.0,Deerfield Beach
6,2018,21895.0,Deerfield Beach
0,2012,2175.0,Del Rio
1,2013,2443.0,Del Rio
2,2014,2385.0,Del Rio
